611	1	8
611	20	6
611	30	10
611	182	8
611	226	8
611	227	7
611	229	7
611	245	10
611	323	7
611	384	6
611	404	6
611	457	9
611	467	9
611	486	9
611	710	7
611	777	8
611	849	8
611	856	8
611	889	9
611	916	6
611	934	8
611	1050	8
611	1138	6
611	1292	6
611	1454	7
611	1519	8
611	1575	7
611	1703	7
611	2001	8
611	2034	8
611	2251	8
611	2904	8
611	2966	7
611	3002	8
611	3167	8
611	3389	7
611	3701	7
611	4224	7
611	4382	7
611	4879	8
611	4901	8
611	5114	9
611	5341	7
611	5356	8
611	5630	8
611	6114	9
611	6211	8
611	6547	8
611	6746	9
611	6880	7
611	6956	8
611	7769	7
611	7785	10
611	8074	8
611	8129	8
611	9253	9
611	9513	7
611	9919	6
611	9989	9
611	10087	8
611	10165	8
611	10271	8
611	10521	8
611	10620	7
611	10711	8
611	11013	7
611	11111	7
611	11499	8
611	11741	8
611	11757	7
611	11837	5
611	11843	7
611	11887	8
611	12679	7
611	13535	8
611	13601	7
611	13759	10
611	14075	8
611	14289	8
611	14467	8
611	14719	9
611	14741	7
611	14813	7
611	15085	7
611	16498	8
611	16742	7
611	16868	7
611	17265	8
611	17729	7
611	18153	7
611	18179	7
611	18507	7
611	18671	8
611	19365	7
611	19775	6
611	19815	9
611	19855	6
611	20057	7
611	20507	8
611	20541	7
611	20787	6
611	20853	6
611	20899	7
611	21431	5
611	21561	5
611	21603	7
611	21843	8
611	21881	7
611	22135	7
611	22199	7
611	22265	6
611	22297	7
611	22319	6
611	22433	6
611	22535	9
611	22547	6
611	22789	8
611	23199	8
611	23273	9
611	23281	8
611	23283	7
611	23289	7
611	23311	7
611	23321	7
611	23327	7
611	23579	6
611	23847	7
611	24231	6
611	24277	7
611	24439	6
611	24765	8
611	24781	8
611	24833	6
611	24893	6
611	25183	7
611	25835	8
611	25859	6
611	25879	9
611	26055	9
611	26349	6
611	27631	7
611	27829	7
611	27831	7
611	27833	8
611	27899	6
611	27989	7
611	27991	8
611	28121	8
611	28155	7
611	28171	8
611	28223	8
611	28249	7
611	28297	9
611	28497	7
611	28617	8
611	28619	5
611	28621	9
611	28623	7
611	28701	7
611	28819	6
611	28825	6
611	28907	8
611	28999	8
611	29067	7
611	29095	7
611	29163	7
611	29758	7
611	29785	7
611	29786	7
611	29803	8
611	29854	8
611	30091	6
611	30123	7
611	30127	7
611	30187	8
611	30205	7
611	30240	8
611	30276	8
611	30307	8
611	30503	8
611	30654	8
611	30721	6
611	30746	5
611	30806	6
611	30895	6
611	30901	8
611	30911	7
611	31043	5
611	31098	9
611	31163	7
611	31173	7
611	31174	7
611	31229	6
611	31240	9
611	31338	6
611	31376	8
611	31404	7
611	31405	7
611	31442	6
611	31478	7
611	31540	6
611	31559	6
611	31564	6
611	31621	7
611	31636	7
611	31637	8
611	31710	5
611	31716	7
611	31741	7
611	31764	9
611	31771	8
611	31793	6
611	31798	7
611	31804	6
611	31821	8
611	31848	6
611	31859	9
611	31952	7
611	31953	7
611	31964	8
611	32013	7
611	32182	9
611	32282	8
611	32379	8
611	32438	6
611	32454	6
611	32491	8
611	32542	7
611	32606	6
611	32648	6
611	32681	8
611	32729	10
611	32828	7
611	32947	7
611	32961	6
611	32998	8
611	33091	8
611	33421	7
