9.26	5114
9.17	9253
9.16	9969
9.11	820
9.06	4181
9.04	918
8.98	2904
8.93	199
8.83	1575
8.83	263
8.83	44
8.82	1
8.81	164
8.81	7311
8.78	457
8.78	2001
8.77	245
8.75	5258
8.74	431
8.72	19
8.71	1535
8.68	4282
8.65	7785
8.64	3297
8.64	6114
8.64	4565
8.64	5300
8.62	9989
8.59	7472
8.59	777
8.58	578
8.58	5028
8.58	21
8.57	801
8.57	5205
8.56	170
8.55	877
8.54	2251
8.53	5941
8.53	3784
8.51	9756
8.50	205
8.49	6594
8.49	7655
8.49	2246
8.48	2921
8.48	136
8.48	523
8.47	467
8.47	572
8.47	2559
8.47	392
8.46	486
8.46	1698
8.46	5341
8.45	5420
8.45	9260
8.45	32
8.45	4224
8.44	2236
8.44	2685
8.43	45
8.43	2418
8.42	1365
8.42	627
8.42	4081
8.42	4155
8.41	1889
8.41	137
8.41	139
8.41	558
8.41	5040
8.40	57
8.40	33
8.40	5
8.40	1842
8.40	6336
8.40	1210
8.40	338
8.39	6547
8.39	5081
8.39	264
8.39	853
8.38	5460
8.38	6746
8.38	5690
8.38	329
8.38	513
8.37	6945
8.37	1142
8.37	6811
8.37	1604
8.37	2966
8.36	9890
8.36	9130
8.36	9863
8.35	7674
8.35	3226
8.34	43
8.34	9617
8.34	1033
8.34	3091
8.33	121
8.33	3002
8.33	138
8.33	6675
8.32	813
8.32	585
8.32	30
8.32	759
8.32	6
8.32	6864
8.31	9735
8.30	962
8.30	1519
8.30	2167
8.30	5681
8.29	3901
8.29	6467
8.29	3701
8.28	372
8.28	265
8.28	4722
8.27	239
8.27	512
8.27	4477
8.27	5365
8.26	3702
8.26	3167
8.26	7465
8.26	7054
8.26	1257
8.25	2025
8.25	235
8.25	1364
8.25	1453
8.25	1559
8.25	1382
8.24	18
8.24	4814
8.24	8129
8.24	2581
8.24	6171
8.24	1827
8.23	1367
8.23	1974
8.23	8425
8.23	185
8.23	2034
8.23	437
8.23	721
8.23	4938
8.22	2402
8.22	6702
8.22	1566
8.22	440
8.22	4107
8.21	1506
8.21	2759
8.21	72
8.21	3016
8.21	3783
8.21	3927
8.20	1482
8.20	3371
8.20	1430
8.20	7720
8.20	1914
