3072	120	123
1	326	4
5	310	16
27655	139	166
1544	62	198
19977	30	131
1034	266	40
1111	84	180
8716	16	69
2061	59	199
33024	38	185
6513	33	147
1112	73	190
3602	148	111
31251	220	70
5763	100	160
2581	280	43
2070	39	200
89	93	203
32792	197	48
9241	111	179
30234	15	46
539	221	91
540	200	102
541	121	162
544	138	163
432	134	158
25635	69	102
342	129	162
30246	33	74
6653	110	122
2600	11	96
3626	130	141
3079	120	140
2599	5	119
21037	149	9
11357	33	59
2056	62	218
8753	30	25
8115	210	73
7222	244	51
22583	30	14
10808	64	230
1081	201	76
58	143	173
2622	64	216
1179	86	186
1088	277	37
1089	278	36
1602	132	156
1091	219	77
1092	259	39
865	121	150
7248	37	231
2060	128	160
33866	2	33
4150	62	212
1101	111	172
6734	144	49
6735	124	73
80	264	50
3665	275	16
82	251	74
31331	15	45
84	200	113
85	268	44
86	129	180
87	233	79
88	117	189
20057	220	84
90	195	118
91	182	116
92	174	125
93	216	95
94	108	195
95	230	71
96	182	125
12897	2	17
2066	36	190
5307	120	163
1124	155	122
5990	42	73
18449	81	171
1468	70	223
2668	58	100
1645	109	177
2158	275	21
10351	70	173
7144	100	147
113	167	118
1650	233	78
1651	204	95
1652	179	100
28339	36	48
2681	124	113
1147	113	155
1662	133	139
30850	6	131
1155	52	193
2582	237	56
2695	96	187
32906	6	185
1676	113	170
1677	80	179
33205	76	117
12431	267	15
6288	165	149
11411	68	181
5742	132	111
3735	115	118
397	259	35
2202	231	55
2203	204	77
2717	143	122
22687	101	193
1184	131	160
22689	123	164
2722	176	101
23835	49	150
2725	77	188
1625	23	186
13479	31	172
7336	59	148
9385	49	118
4183	21	113
21677	74	211
22427	12	49
13427	47	213
180	156	161
181	177	138
14007	90	99
696	181	124
3444	39	200
3258	112	161
1211	211	83
5322	28	160
5310	253	61
1215	150	155
6336	251	38
14529	15	64
1227	51	203
569	272	30
31430	82	188
711	80	177
2760	103	157
2761	200	68
1226	49	230
887	25	223
30473	8	40
10701	14	12
23249	183	54
2770	68	184
11299	86	32
1236	104	166
8917	153	151
3288	118	163
1241	140	156
218	224	91
219	98	204
2269	165	107
31454	63	71
3059	35	221
1248	112	182
2273	193	109
5755	122	115
31973	229	37
2974	53	191
1916	149	137
8939	169	106
8839	34	189
1490	161	120
1262	82	215
1133	135	157
2088	84	113
18305	3	10
20951	41	141
2294	131	144
12029	280	8
256	235	82
11307	33	37
1901	226	68
1185	54	218
1168	128	143
4646	122	163
32898	8	45
3854	140	104
10869	40	145
1811	46	228
1301	254	40
1302	188	88
24355	13	48
2331	111	150
16668	155	151
23327	261	39
290	259	47
23259	53	245
6437	38	199
294	47	231
295	53	211
33221	182	53
3371	279	13
6448	26	117
3635	50	201
820	301	1
3294	2	146
16696	1	2
2361	69	211
4411	52	122
24893	246	35
19775	241	65
3907	145	73
9782	103	187
1249	110	170
329	302	15
3235	97	104
1867	82	161
909	62	238
1080	134	131
10581	51	217
854	33	238
3927	268	52
2906	59	134
23931	67	128
864	58	236
1377	130	148
5723	37	181
12091	18	1
1380	63	227
1381	141	109
4454	211	74
4240	133	83
2484	100	160
28013	110	148
7536	91	123
2929	164	94
2420	176	96
17269	210	97
18295	142	156
888	38	262
2452	165	116
3963	77	170
3964	80	166
1917	142	149
7122	11	139
3969	62	117
1411	24	204
2065	55	179
3183	54	133
12951	0	29
396	255	49
1090	213	85
398	242	49
399	138	101
400	260	47
13983	80	120
16786	30	97
2451	202	88
7060	46	234
1941	162	103
33176	16	45
4536	56	130
184	53	223
16796	4	38
4250	63	188
2669	30	54
9376	69	23
930	118	158
1443	87	189
1444	104	181
2470	118	143
5031	153	121
5032	152	137
32681	166	110
3399	22	177
3675	51	117
1967	197	94
1968	163	122
1969	200	84
1458	43	162
1459	160	127
1460	45	226
949	282	29
16822	7	30
10735	44	153
10653	10	9
7156	98	136
6074	1	0
159	60	208
1980	169	137
9170	39	242
33217	17	44
18795	35	56
4037	171	121
3014	280	13
3015	135	162
3016	276	12
1737	52	109
3817	7	143
29133	2	3
6733	157	54
5072	57	212
6331	82	125
2002	193	107
1491	258	32
2516	76	208
4565	300	11
10355	27	170
1495	106	176
32856	15	46
474	261	52
28495	156	89
4773	79	135
2062	78	179
14817	108	162
4066	136	154
483	189	95
25383	13	7
4650	114	158
593	205	80
1000	254	45
1002	236	67
3256	223	52
4371	75	118
1006	163	124
5629	97	48
10224	12	155
23595	49	31
4083	107	76
3572	266	44
28149	228	47
15863	155	132
32563	1	2
2598	110	147
3067	157	100
5628	1	0
3069	104	144
3070	13	232
17919	73	208
