8449	17	42
2219	5	52
4353	18	41
2220	5	54
30346	58	1
1035	18	38
23441	42	17
7058	39	20
20371	52	7
3092	57	2
149	37	22
12695	33	26
2835	51	7
6553	39	20
30531	9	38
18729	9	46
21105	47	12
553	34	25
15439	46	13
31815	38	21
1324	8	51
25649	52	7
243	41	18
4021	35	24
25143	28	31
15933	29	30
3007	11	46
1216	6	53
1217	17	42
11135	48	11
12137	39	20
9926	55	4
13767	46	13
3656	35	24
12663	36	18
4814	55	4
20815	49	10
850	24	35
32684	17	37
600	5	52
11355	28	31
5085	9	50
25567	19	39
507	25	34
31680	37	22
1637	25	34
1640	5	54
1020	33	25
365	15	44
2621	31	28
752	0	58
3057	20	38
11123	58	1
1908	6	53
1909	10	48
425	20	39
1912	9	50
1019	27	31
1532	29	30
8063	53	6
