32153	12	59
30524	12	67
2562	35	43
619	8	70
28673	5	6
31240	66	15
2698	22	54
12503	9	70
12723	6	64
4879	38	41
14353	49	32
658	56	23
19	79	1
30484	13	5
17813	11	64
1943	55	25
7193	50	30
239	70	9
9756	68	13
11577	70	11
10271	64	16
34048	1	35
2593	48	32
838	10	69
9253	80	1
934	56	24
13863	13	66
2204	36	41
32682	8	67
4039	24	55
7724	51	29
5682	54	27
7598	15	64
23837	12	65
2994	31	49
10163	29	52
21025	42	24
11701	24	56
4280	53	27
5177	44	35
3002	69	11
11679	10	69
32188	58	23
1451	4	72
28223	63	19
1346	14	65
323	41	38
3652	27	51
3782	54	26
3783	59	21
11977	58	22
11979	67	12
11981	68	11
24781	27	52
6736	20	58
6610	27	53
21027	42	30
5204	45	35
5205	76	4
8278	12	62
4282	77	3
12035	27	52
16602	3	72
3420	36	43
11741	77	4
11869	4	73
6624	40	40
1889	63	17
6114	74	6
6372	35	45
11111	37	44
16700	22	56
4715	25	53
6637	35	45
10863	64	17
23283	56	27
4725	38	41
20329	7	69
3064	3	69
27387	16	62
10620	44	38
5630	55	26
1535	73	9
