1	2436	43
5	2368	79
6	2346	121
7	1526	789
15	1949	306
18	2032	208
8211	672	1597
20	1681	761
22	1909	363
23	395	1452
32792	1467	357
25	1688	640
26	1918	389
27	1573	808
29	1533	506
30	2315	164
33	2319	116
32802	665	850
16419	498	1547
43	2332	127
44	2367	34
45	2271	133
47	2279	183
24625	1477	652
51	602	1673
54	1323	1019
8247	1727	658
8248	885	1183
8249	639	1406
16442	1034	649
60	1878	510
61	1196	1178
32831	413	396
64	1595	814
65	1668	723
67	1886	536
69	369	1694
71	2091	368
72	2274	166
73	2179	225
75	1475	726
76	1810	516
77	2063	247
548	1218	1019
80	2065	295
5475	96	838
16468	1097	970
8277	996	1381
8278	662	1222
90	1847	496
91	1698	511
93	1981	377
94	1364	959
95	1847	409
97	2181	212
98	1740	594
2747	1136	990
8297	214	1884
110	908	1100
112	106	2024
113	1590	612
16498	2389	84
12279	198	987
121	2344	132
32890	203	1096
24703	1317	961
16512	1001	1323
24705	747	1474
130	1133	978
131	1049	1012
132	1674	619
8214	500	755
134	1798	557
136	2266	113
137	2178	150
138	2077	226
139	2117	196
16524	1948	459
24719	39	202
8337	1056	1089
32915	1296	482
149	965	1278
150	2024	405
151	1386	816
152	1193	917
153	2089	185
154	1755	639
155	789	1527
156	1665	669
161	1287	938
164	2442	39
165	1824	553
168	1615	642
169	1401	996
174	1171	1210
28701	2241	83
177	1807	579
180	1417	971
181	1527	851
184	435	1735
185	2078	269
186	2036	279
187	1939	379
16574	322	1144
16576	223	950
32961	413	1299
1643	320	1631
30070	47	249
198	1661	648
32801	525	579
202	2074	327
204	441	1802
205	2363	108
206	1270	953
207	1765	530
208	2060	310
209	1856	495
212	915	1207
8408	2128	275
218	1721	640
219	1045	1229
221	814	1443
222	877	1344
225	687	1713
226	2048	433
227	2173	267
32998	1813	327
231	245	1568
16620	64	383
238	1413	825
13693	176	1163
2511	1010	667
15059	1914	267
249	1795	609
33021	191	1612
16648	197	1394
33024	414	1340
8449	508	1682
28715	772	1056
33028	1637	428
8456	713	1408
8457	1670	577
267	2083	270
8460	1099	1308
269	1997	430
270	1783	660
272	1587	747
274	1185	1096
278	271	1510
282	1543	534
16668	1542	816
285	1068	1108
288	521	1833
290	1984	292
23259	514	1689
8487	896	1313
296	592	1527
297	897	1387
8490	398	1651
8491	468	1626
300	1072	1233
301	642	1384
305	667	1389
33074	1200	475
33075	774	996
33080	919	1140
33082	1578	337
315	755	1072
317	1972	455
320	954	1352
321	523	1635
8514	2011	363
21899	1818	70
8246	1182	1153
55	541	1599
9613	43	298
340	1482	611
24919	1102	776
16728	145	66
24921	1358	368
347	398	1570
8250	1105	782
355	1904	544
356	1906	545
359	772	1071
8553	211	649
366	378	1963
370	674	1552
16756	694	696
