1	1591	36
5	1507	98
7	867	670
31405	849	601
16	1426	148
18	1278	215
19	1558	15
32792	842	291
26	1232	310
29	889	533
30	1471	142
31	900	677
32	1459	138
33	1487	102
32804	221	112
8230	514	931
44	1552	23
46	983	584
8239	114	260
16434	87	2
51	297	1225
52	713	841
53	715	806
54	622	924
8248	468	922
57	1421	124
58	678	844
59	974	622
62	457	1017
64	953	633
65	982	593
24645	23	120
24647	11	132
75	839	641
76	1036	503
77	1246	289
79	737	814
81	1328	199
82	1197	363
83	643	841
84	886	631
85	1266	250
86	564	925
87	1153	351
88	529	911
89	476	923
90	1002	517
91	955	487
92	729	685
93	1179	354
94	771	741
95	1022	443
96	820	663
98	1041	515
99	799	732
100	541	970
101	1029	563
102	992	532
24679	117	198
104	745	771
106	894	569
110	524	840
16498	1545	75
119	265	1145
120	1129	468
121	1497	122
122	1105	405
123	839	691
124	308	1170
126	573	867
128	314	1102
129	795	646
130	620	791
30059	8	226
8324	102	421
134	1144	434
142	683	819
143	438	1097
144	590	923
145	1130	386
146	450	1061
147	842	717
148	328	1057
149	507	1008
150	1264	341
154	956	597
155	366	1165
156	1014	530
158	932	588
160	1154	394
165	1107	456
167	1005	534
168	798	666
170	1395	112
171	360	963
173	660	811
32947	255	1112
185	1306	245
186	1262	276
187	1134	400
190	679	811
193	362	1106
195	710	854
196	513	1038
199	1599	38
201	885	609
202	1321	275
206	664	805
209	1036	501
217	279	891
219	540	959
8415	1	277
226	1186	451
32998	1136	303
231	137	1115
232	1304	260
8425	1330	240
8426	1219	312
236	381	1045
237	1392	198
239	1436	110
242	686	781
15059	1174	283
245	1546	38
252	653	813
256	1149	444
258	436	1040
260	285	1078
263	1508	24
266	453	995
267	1298	263
272	998	558
273	512	988
277	550	943
16662	1396	119
282	938	498
8475	803	702
284	571	854
285	548	897
289	300	1153
291	452	987
292	430	986
294	195	1221
295	239	1085
302	1265	216
16690	830	533
308	703	732
311	462	974
312	106	593
313	648	617
314	184	868
315	313	904
320	457	1080
322	1171	372
323	1262	314
325	494	996
328	169	1258
329	1513	61
330	849	691
333	442	809
334	740	723
338	1426	106
339	1328	259
341	642	852
342	662	827
8249	331	958
344	695	745
345	1118	368
346	112	1308
8250	563	702
8542	483	706
355	1094	514
358	642	832
360	133	1237
361	126	1237
362	179	1158
363	231	1096
369	827	742
371	924	640
372	1224	309
376	748	829
381	493	983
384	802	763
385	624	870
387	1405	171
390	664	834
8584	309	484
393	713	810
394	615	900
395	699	857
16782	1444	126
401	1333	233
33170	76	767
407	896	503
408	829	729
411	767	740
416	1310	243
33192	326	324
427	1192	323
428	801	641
429	981	467
430	1195	424
431	1545	63
433	1287	286
435	763	754
437	1419	167
438	325	1177
439	183	1242
440	1404	144
441	1031	494
442	601	974
444	1047	467
446	382	1070
447	355	1091
448	504	1020
449	775	746
450	861	658
451	979	525
452	796	749
33221	797	202
32845	81	252
33232	175	93
470	234	1202
471	299	1009
472	353	1087
473	330	959
474	1139	356
475	836	564
476	683	805
479	992	487
483	905	571
489	986	539
25069	122	118
496	334	952
503	128	1190
504	370	1060
506	674	746
509	472	1003
510	222	868
25087	194	322
512	1392	190
25089	123	117
514	829	724
519	742	671
8713	671	549
522	980	541
524	571	937
525	684	763
526	747	734
528	874	697
529	861	703
531	901	642
532	1015	544
33302	398	464
543	1265	311
546	128	1286
547	158	1080
548	650	845
8743	420	896
553	432	1050
554	304	1134
556	135	1112
558	1295	165
559	230	1230
560	755	705
1459	685	713
565	1018	508
25143	567	785
570	1299	271
573	779	715
578	1533	57
584	1226	317
585	1444	122
587	1048	501
589	894	469
27405	99	162
593	1063	425
595	511	951
597	1235	331
598	450	908
600	80	1362
604	459	968
25183	861	680
609	636	876
610	240	1241
616	358	321
