10954	61	201
31233	52	41
2050	144	100
2731	20	26
32383	81	76
16982	141	120
9735	252	18
3080	121	176
11785	209	101
2058	25	141
5549	52	189
11281	84	77
2067	48	202
31918	116	105
1558	58	154
12823	150	125
8196	6	2
31772	213	62
3674	205	83
10520	44	175
2080	22	70
6064	163	124
4130	61	233
18523	206	83
3620	82	156
31494	22	70
8231	31	222
3112	11	190
14889	73	184
1066	187	120
20999	72	42
3735	70	77
2605	281	27
16602	44	151
8968	47	131
31283	32	208
1405	85	107
4150	90	142
10249	159	123
2104	266	32
15417	281	12
2883	90	125
33119	36	117
1596	31	203
19279	67	102
30782	36	248
3136	59	78
32412	40	102
4163	261	36
30276	305	7
31158	72	103
23627	74	135
29821	30	98
5199	122	157
21075	138	92
5715	31	189
10324	137	120
4182	253	58
13693	31	168
7769	204	104
6234	95	171
8795	236	54
31018	33	200
18197	0	92
22631	4	83
4192	247	35
6331	60	130
20581	2	28
615	70	206
22633	23	64
3100	29	121
20075	0	12
2305	53	182
13435	15	104
32366	165	10
18109	57	72
229	131	145
23153	123	118
30840	7	107
8314	93	80
28607	122	132
4775	31	115
8317	163	104
29822	77	51
1813	241	55
4737	45	36
22635	5	82
2692	110	96
9861	78	162
30143	15	17
6792	34	182
6793	189	101
28811	55	136
28813	39	67
31374	142	141
28815	47	86
16508	59	182
31890	51	209
24259	0	2
3221	167	125
30489	18	129
3228	268	34
3229	179	110
3743	84	127
25749	64	89
29823	39	114
15963	174	112
28835	34	159
2725	93	176
3239	77	108
7337	164	117
31115	82	142
1196	155	76
2733	87	120
686	49	169
16157	137	164
19121	40	28
12979	136	149
8316	10	66
10933	65	201
19919	90	134
2743	167	91
7864	10	99
2234	90	91
24763	98	109
7882	27	229
10431	147	143
30912	77	118
10945	99	154
28401	30	45
569	227	35
18465	236	52
33228	7	79
1738	155	107
9591	93	182
27677	61	87
5343	105	63
7375	156	139
3619	30	65
30013	3	58
19159	200	68
218	199	72
1743	52	135
19165	55	167
7902	212	73
13535	254	45
10464	214	85
25313	250	21
227	282	35
15751	195	97
10469	219	71
9958	166	98
6609	105	127
6377	265	35
20705	42	34
28809	47	36
5501	29	210
240	250	50
9969	290	7
33011	34	172
9794	35	128
14073	105	173
10491	137	156
3418	35	126
12411	58	217
2302	84	158
2303	70	167
2304	43	187
10497	185	84
2306	59	177
24835	68	194
1797	141	108
1798	129	110
4872	258	44
4361	67	186
34239	19	20
1851	45	27
33551	6	61
2322	76	143
29820	25	100
5909	229	76
5554	0	49
10519	96	204
2840	26	152
18713	153	129
32026	177	68
10012	277	33
15133	78	214
4382	209	110
8479	216	71
6945	269	19
6946	171	91
30851	62	24
17705	118	113
8490	66	200
5419	186	67
4908	95	113
1837	84	147
6318	46	165
7472	278	15
28977	274	3
306	210	73
13619	75	178
309	44	173
9865	166	98
17707	20	88
3295	76	101
19261	119	147
5955	190	111
31517	27	60
28385	96	128
1865	79	148
4939	54	179
1503	64	184
4578	55	159
5005	217	16
10820	51	21
849	300	25
15699	198	106
16526	0	5
2390	66	161
19799	112	146
7915	11	127
33508	20	22
21851	50	162
15195	202	62
20199	35	9
10810	85	106
33225	9	78
1887	278	41
4962	45	189
12131	52	169
5477	0	2
870	149	116
3473	75	151
12611	116	154
29035	92	142
13677	89	179
14653	139	127
10643	240	42
3956	182	120
4469	74	184
1769	51	155
4472	263	47
17273	183	57
32122	229	19
379	216	72
2026	238	48
1918	74	200
9087	29	105
7041	168	110
1515	27	178
7044	248	50
2951	253	41
9098	25	102
21899	235	15
31116	3	64
12685	120	177
25999	41	120
7568	104	171
5521	189	88
3474	124	96
23619	144	120
918	293	6
9624	143	143
921	69	192
30531	30	129
26013	4	2
31647	17	48
32543	17	1
5025	51	205
2466	48	103
19365	164	121
5030	208	91
26023	204	80
19369	215	74
7596	113	192
941	138	121
32467	26	165
11695	2	8
9136	184	109
19889	108	134
33712	5	84
21427	62	179
6582	207	18
8215	4	34
21433	6	31
15291	73	88
34238	170	37
19391	130	142
33545	8	143
10177	43	190
4034	40	151
5060	225	68
11717	40	126
31174	259	19
20385	68	19
714	71	58
5065	212	73
33226	29	58
1995	15	240
2508	254	44
2510	103	105
10191	157	117
16183	26	94
1489	121	130
9170	74	195
31699	8	79
982	33	229
18391	120	49
31704	239	52
11087	14	53
1502	107	149
12255	157	132
2529	55	168
7259	41	151
7419	2	12
15335	286	5
490	199	71
7591	81	184
14077	91	170
9712	172	120
920	51	218
10739	93	176
3573	4	66
2550	87	141
22953	16	49
2041	52	193
7162	0	31
33791	2	0
12991	116	110
5118	218	90
31997	123	63
