2051	52	276
8196	24	4
6151	191	182
2056	74	271
20	282	119
6169	181	179
6171	318	68
16049	355	25
2739	5	99
8246	193	189
8247	282	112
6205	114	272
20543	120	252
18497	285	86
18499	275	85
68	251	134
6213	338	56
6215	129	220
2124	168	206
77	346	35
28755	292	75
16468	168	177
100	158	216
2322	118	205
112	11	354
2161	177	196
16498	386	16
2170	201	167
8316	32	76
2176	105	211
14467	263	125
132	277	101
136	367	17
137	358	15
138	343	27
139	354	19
152	194	157
6297	78	208
156	272	109
157	182	202
22695	65	236
168	266	106
169	206	182
22699	58	226
173	194	175
174	184	204
175	119	240
6325	203	177
14527	287	99
30915	118	238
198	269	102
6347	338	54
204	55	306
18637	18	96
20689	188	186
212	138	221
223	351	46
225	105	288
231	33	289
238	222	151
13693	20	236
2293	113	244
18679	373	17
22777	310	47
257	116	269
13927	49	271
8457	266	103
10507	130	219
269	343	53
2321	331	34
274	192	180
6428	16	83
12585	31	212
8493	26	33
6448	30	88
14647	112	228
317	340	56
4416	179	118
8516	343	48
10294	272	101
28999	319	60
31050	136	191
28387	173	194
10588	304	84
10589	224	161
10592	205	124
6500	118	272
6511	61	230
6889	8	110
31116	1	83
10308	85	287
10659	86	287
31147	165	201
6573	329	60
6577	42	20
4531	16	290
6582	318	16
6587	131	209
10686	132	232
452	224	151
76	297	86
459	204	176
460	221	158
461	195	184
462	297	83
463	227	150
466	113	260
4565	379	9
2520	61	314
10713	225	145
10714	271	99
10715	293	77
10716	288	80
10717	301	67
478	169	208
6624	300	73
483	241	119
16870	278	92
6634	297	85
4596	285	88
14837	270	108
502	149	234
16904	313	65
21013	46	298
6682	103	287
23067	55	223
8740	334	37
10793	308	84
4654	334	60
6579	89	87
31289	262	78
6714	57	306
4534	146	130
23115	64	253
594	100	286
13411	140	234
599	97	243
4196	136	239
4703	183	120
8800	144	191
6758	240	127
17006	4	9
6768	311	63
4725	334	55
4737	47	31
8840	66	275
6794	155	205
33421	98	245
17048	23	85
4548	166	217
1135	168	197
23201	156	204
678	144	192
12401	30	40
10923	129	216
686	48	277
2737	11	125
19123	323	19
4808	134	168
8921	119	169
8314	151	126
4835	268	126
8937	345	49
6904	287	86
31486	60	35
6918	82	292
6919	95	275
813	355	44
2832	261	117
12419	162	199
6941	212	144
23333	38	325
808	85	264
25389	258	102
11061	382	1
4923	122	149
6973	181	178
31553	213	138
33606	110	200
839	56	277
9032	142	180
19285	140	242
21335	27	312
2904	392	5
2905	99	264
11099	74	276
6971	173	77
4967	27	66
21353	106	264
17267	66	260
27509	135	202
4985	333	32
891	117	267
892	122	259
893	180	202
29846	26	55
903	166	215
2952	358	26
5005	322	18
5691	151	180
935	226	150
9130	343	41
5053	80	258
11209	58	307
971	137	235
33740	102	181
13261	110	226
3023	33	67
979	122	253
13271	242	137
31704	310	69
15323	344	29
3511	40	203
11241	132	250
27629	81	241
9202	51	311
11255	114	242
13311	25	201
1027	24	290
9047	265	109
3099	41	189
31772	267	93
1059	24	337
3114	11	221
19511	105	255
